timestamp,message
1637299088956,"Loading function
"
1637299089070,"START RequestId: 10f4a40e-a79f-434b-a750-790203f3513b Version: $LATEST
"
1637299089071,"From SNS: TSLA.US,5,20200812,153000,294,294.12,289,289.77,2883060,0
"
1637299089082,"END RequestId: 10f4a40e-a79f-434b-a750-790203f3513b
"
1637299089082,"REPORT RequestId: 10f4a40e-a79f-434b-a750-790203f3513b	Duration: 11.43 ms	Billed Duration: 12 ms	Memory Size: 128 MB	Max Memory Used: 71 MB	Init Duration: 418.99 ms	
"
1637299098763,"START RequestId: b0a775ce-2ba5-4bc1-af2a-074d095c5cdd Version: $LATEST
"
1637299098766,"From SNS: TSLA.US,5,20200812,153500,289.64,292.18,288.05,288.8,1264800,0
"
1637299098767,"END RequestId: b0a775ce-2ba5-4bc1-af2a-074d095c5cdd
"
1637299098767,"REPORT RequestId: b0a775ce-2ba5-4bc1-af2a-074d095c5cdd	Duration: 1.69 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 71 MB	
"
1637299108930,"START RequestId: e1ce3e57-01f0-472f-a325-2bfb0f607f34 Version: $LATEST
"
1637299108934,"From SNS: TSLA.US,5,20200812,154000,288.94,289.95,287.19,287.82,675595,0
"
1637299108934,"END RequestId: e1ce3e57-01f0-472f-a325-2bfb0f607f34
"
1637299108934,"REPORT RequestId: e1ce3e57-01f0-472f-a325-2bfb0f607f34	Duration: 1.43 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 71 MB	
"
1637299119084,"START RequestId: 8528061d-95fc-46a4-90cd-a0e57b644a34 Version: $LATEST
"
1637299119087,"From SNS: TSLA.US,5,20200812,154500,288,290.21,287,289.47,957765,0
"
1637299119088,"END RequestId: 8528061d-95fc-46a4-90cd-a0e57b644a34
"
1637299119088,"REPORT RequestId: 8528061d-95fc-46a4-90cd-a0e57b644a34	Duration: 1.34 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 71 MB	
"
1637299129292,"START RequestId: d96877d4-0792-4125-8bc1-50cfa67d2d1d Version: $LATEST
"
1637299129294,"From SNS: TSLA.US,5,20200812,155000,289.65,291.94,289,291.38,861975,0
"
1637299129295,"END RequestId: d96877d4-0792-4125-8bc1-50cfa67d2d1d
"
1637299129295,"REPORT RequestId: d96877d4-0792-4125-8bc1-50cfa67d2d1d	Duration: 1.37 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 71 MB	
"
1637299139427,"START RequestId: 50140d0b-118f-41e9-aff0-d7da06b01a03 Version: $LATEST
"
1637299139430,"From SNS: TSLA.US,5,20200812,155500,291.26,292.44,290.45,292.24,663815,0
"
1637299139431,"END RequestId: 50140d0b-118f-41e9-aff0-d7da06b01a03
"
1637299139431,"REPORT RequestId: 50140d0b-118f-41e9-aff0-d7da06b01a03	Duration: 1.31 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 71 MB	
"
1637299149556,"START RequestId: 5abdca9f-e266-4a46-9bf1-17fad70a8e95 Version: $LATEST
"
1637299149559,"From SNS: TSLA.US,5,20200812,160000,292.24,293.65,291.8,292.17,720390,0
"
1637299149559,"END RequestId: 5abdca9f-e266-4a46-9bf1-17fad70a8e95
"
1637299149559,"REPORT RequestId: 5abdca9f-e266-4a46-9bf1-17fad70a8e95	Duration: 1.28 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 71 MB	
"
1637299159724,"START RequestId: f3f0034a-9a0b-49fb-954d-2b17dd9d38eb Version: $LATEST
"
1637299159728,"From SNS: TSLA.US,5,20200812,160500,292,295.55,291.91,294.2,1194060,0
"
1637299159728,"END RequestId: f3f0034a-9a0b-49fb-954d-2b17dd9d38eb
"
1637299159728,"REPORT RequestId: f3f0034a-9a0b-49fb-954d-2b17dd9d38eb	Duration: 1.36 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 71 MB	
"
1637299169894,"START RequestId: 2eeae0fe-eb81-4e3e-b492-32ae0c76d465 Version: $LATEST
"
1637299169897,"From SNS: TSLA.US,5,20200812,161000,294.18,294.8,293.21,294.67,498555,0
"
1637299169898,"END RequestId: 2eeae0fe-eb81-4e3e-b492-32ae0c76d465
"
1637299169898,"REPORT RequestId: 2eeae0fe-eb81-4e3e-b492-32ae0c76d465	Duration: 1.53 ms	Billed Duration: 2 ms	Memory Size: 128 MB	Max Memory Used: 72 MB	
"
1637299180074,"START RequestId: 499a47e4-fcc2-47ca-8848-8f834836a1f0 Version: $LATEST
"
1637299180092,"From SNS: TSLA.US,5,20200812,161500,294.64,296.2,294.64,295.79,881895,0
"
