<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>,<OPENINT>
TSLA.US,5,20200812,153000,294,294.12,289,289.77,2883060,0
TSLA.US,5,20200812,153500,289.64,292.18,288.05,288.8,1264800,0
TSLA.US,5,20200812,154000,288.94,289.95,287.19,287.82,675595,0
TSLA.US,5,20200812,154500,288,290.21,287,289.47,957765,0
TSLA.US,5,20200812,155000,289.65,291.94,289,291.38,861975,0
TSLA.US,5,20200812,155500,291.26,292.44,290.45,292.24,663815,0
TSLA.US,5,20200812,160000,292.24,293.65,291.8,292.17,720390,0
TSLA.US,5,20200812,160500,292,295.55,291.91,294.2,1194060,0
TSLA.US,5,20200812,161000,294.18,294.8,293.21,294.67,498555,0
TSLA.US,5,20200812,161500,294.64,296.2,294.64,295.79,881895,0
<TSLA.US,20,HIGH>
